date,wm_yr_wk,weekday,wday,month,year,d
2011-06-16,11120,Thursday,6,6,2011,d_139
2011-06-17,11120,Friday,7,6,2011,d_140
2011-06-18,11121,Saturday,1,6,2011,d_141
2011-06-19,11121,Sunday,2,6,2011,d_142
2011-06-20,11121,Monday,3,6,2011,d_143
2011-06-21,11121,Tuesday,4,6,2011,d_144
2011-06-22,11121,Wednesday,5,6,2011,d_145
2011-06-23,11121,Thursday,6,6,2011,d_146
2011-06-24,11121,Friday,7,6,2011,d_147
2011-06-25,11122,Saturday,1,6,2011,d_148
2011-06-26,11122,Sunday,2,6,2011,d_149
2011-06-27,11122,Monday,3,6,2011,d_150
2011-06-28,11122,Tuesday,4,6,2011,d_151
2011-06-29,11122,Wednesday,5,6,2011,d_152
2011-06-30,11122,Thursday,6,6,2011,d_153
2011-07-01,11122,Friday,7,7,2011,d_154
2011-07-02,11123,Saturday,1,7,2011,d_155
2011-07-03,11123,Sunday,2,7,2011,d_156
2011-07-04,11123,Monday,3,7,2011,d_157
2011-07-05,11123,Tuesday,4,7,2011,d_158
2011-07-06,11123,Wednesday,5,7,2011,d_159
2011-07-07,11123,Thursday,6,7,2011,d_160
2011-07-08,11123,Friday,7,7,2011,d_161
2011-07-09,11124,Saturday,1,7,2011,d_162
2011-07-10,11124,Sunday,2,7,2011,d_163
2011-07-11,11124,Monday,3,7,2011,d_164
2011-07-12,11124,Tuesday,4,7,2011,d_165
2011-07-13,11124,Wednesday,5,7,2011,d_166
2011-07-14,11124,Thursday,6,7,2011,d_167
2011-07-15,11124,Friday,7,7,2011,d_168
2011-07-16,11125,Saturday,1,7,2011,d_169
2011-07-17,11125,Sunday,2,7,2011,d_170
2011-07-18,11125,Monday,3,7,2011,d_171
2011-07-19,11125,Tuesday,4,7,2011,d_172
2011-07-20,11125,Wednesday,5,7,2011,d_173
2011-07-21,11125,Thursday,6,7,2011,d_174
2011-07-22,11125,Friday,7,7,2011,d_175
2011-07-23,11126,Saturday,1,7,2011,d_176
2011-07-24,11126,Sunday,2,7,2011,d_177
2011-07-25,11126,Monday,3,7,2011,d_178
2011-07-26,11126,Tuesday,4,7,2011,d_179
2011-07-27,11126,Wednesday,5,7,2011,d_180
2011-07-28,11126,Thursday,6,7,2011,d_181
2011-07-29,11126,Friday,7,7,2011,d_182
2011-07-30,11127,Saturday,1,7,2011,d_183
2011-07-31,11127,Sunday,2,7,2011,d_184
2011-08-01,11127,Monday,3,8,2011,d_185
2011-08-02,11127,Tuesday,4,8,2011,d_186
2011-08-03,11127,Wednesday,5,8,2011,d_187
2011-08-04,11127,Thursday,6,8,2011,d_188
2011-08-05,11127,Friday,7,8,2011,d_189
2011-08-06,11128,Saturday,1,8,2011,d_190
2011-08-07,11128,Sunday,2,8,2011,d_191
2011-08-08,11128,Monday,3,8,2011,d_192
2011-08-09,11128,Tuesday,4,8,2011,d_193
2011-08-10,11128,Wednesday,5,8,2011,d_194
2011-08-11,11128,Thursday,6,8,2011,d_195
2011-08-12,11128,Friday,7,8,2011,d_196
2011-08-13,11129,Saturday,1,8,2011,d_197
2011-08-14,11129,Sunday,2,8,2011,d_198
2011-08-15,11129,Monday,3,8,2011,d_199
2011-08-16,11129,Tuesday,4,8,2011,d_200
2011-08-17,11129,Wednesday,5,8,2011,d_201
2011-08-18,11129,Thursday,6,8,2011,d_202
2011-08-19,11129,Friday,7,8,2011,d_203
2011-08-20,11130,Saturday,1,8,2011,d_204
2011-08-21,11130,Sunday,2,8,2011,d_205
2011-08-22,11130,Monday,3,8,2011,d_206
2011-08-23,11130,Tuesday,4,8,2011,d_207
2011-08-24,11130,Wednesday,5,8,2011,d_208
2011-08-25,11130,Thursday,6,8,2011,d_209
2011-08-26,11130,Friday,7,8,2011,d_210
2011-08-27,11131,Saturday,1,8,2011,d_211
2011-08-28,11131,Sunday,2,8,2011,d_212
2011-08-29,11131,Monday,3,8,2011,d_213
2011-08-30,11131,Tuesday,4,8,2011,d_214
2011-08-31,11131,Wednesday,5,8,2011,d_215
2011-09-01,11131,Thursday,6,9,2011,d_216
2011-09-02,11131,Friday,7,9,2011,d_217
2011-09-03,11132,Saturday,1,9,2011,d_218
2011-09-04,11132,Sunday,2,9,2011,d_219
2011-09-05,11132,Monday,3,9,2011,d_220
2011-09-06,11132,Tuesday,4,9,2011,d_221
2011-09-07,11132,Wednesday,5,9,2011,d_222
2011-09-08,11132,Thursday,6,9,2011,d_223
2011-09-09,11132,Friday,7,9,2011,d_224
2011-09-10,11133,Saturday,1,9,2011,d_225
2011-09-11,11133,Sunday,2,9,2011,d_226
2011-09-12,11133,Monday,3,9,2011,d_227
2011-09-13,11133,Tuesday,4,9,2011,d_228
2011-09-14,11133,Wednesday,5,9,2011,d_229
2011-09-15,11133,Thursday,6,9,2011,d_230
2011-09-16,11133,Friday,7,9,2011,d_231
2011-09-17,11134,Saturday,1,9,2011,d_232
2011-09-18,11134,Sunday,2,9,2011,d_233
2011-09-19,11134,Monday,3,9,2011,d_234
2011-09-20,11134,Tuesday,4,9,2011,d_235
2011-09-21,11134,Wednesday,5,9,2011,d_236
2011-09-22,11134,Thursday,6,9,2011,d_237
2011-09-23,11134,Friday,7,9,2011,d_238
2011-09-24,11135,Saturday,1,9,2011,d_239
2011-09-25,11135,Sunday,2,9,2011,d_240
2011-09-26,11135,Monday,3,9,2011,d_241
2011-09-27,11135,Tuesday,4,9,2011,d_242
2011-09-28,11135,Wednesday,5,9,2011,d_243
2011-09-29,11135,Thursday,6,9,2011,d_244
2011-09-30,11135,Friday,7,9,2011,d_245
2011-10-01,11136,Saturday,1,10,2011,d_246
2011-10-02,11136,Sunday,2,10,2011,d_247
2011-10-03,11136,Monday,3,10,2011,d_248
2011-10-04,11136,Tuesday,4,10,2011,d_249
2011-10-05,11136,Wednesday,5,10,2011,d_250
2011-10-06,11136,Thursday,6,10,2011,d_251
2011-10-07,11136,Friday,7,10,2011,d_252
2011-10-08,11137,Saturday,1,10,2011,d_253
2011-10-09,11137,Sunday,2,10,2011,d_254
2011-10-10,11137,Monday,3,10,2011,d_255
2011-10-11,11137,Tuesday,4,10,2011,d_256
2011-10-12,11137,Wednesday,5,10,2011,d_257
2011-10-13,11137,Thursday,6,10,2011,d_258
2011-10-14,11137,Friday,7,10,2011,d_259
2011-10-15,11138,Saturday,1,10,2011,d_260
2011-10-16,11138,Sunday,2,10,2011,d_261
2011-10-17,11138,Monday,3,10,2011,d_262
2011-10-18,11138,Tuesday,4,10,2011,d_263
2011-10-19,11138,Wednesday,5,10,2011,d_264
2011-10-20,11138,Thursday,6,10,2011,d_265
2011-10-21,11138,Friday,7,10,2011,d_266
2011-10-22,11139,Saturday,1,10,2011,d_267
2011-10-23,11139,Sunday,2,10,2011,d_268
2011-10-24,11139,Monday,3,10,2011,d_269
2011-10-25,11139,Tuesday,4,10,2011,d_270
2011-10-26,11139,Wednesday,5,10,2011,d_271
2011-10-27,11139,Thursday,6,10,2011,d_272
2011-10-28,11139,Friday,7,10,2011,d_273
2011-10-29,11140,Saturday,1,10,2011,d_274
2011-10-30,11140,Sunday,2,10,2011,d_275
2011-10-31,11140,Monday,3,10,2011,d_276
2011-11-01,11140,Tuesday,4,11,2011,d_277
2011-11-02,11140,Wednesday,5,11,2011,d_278
2011-11-03,11140,Thursday,6,11,2011,d_279
2011-11-04,11140,Friday,7,11,2011,d_280
2011-11-05,11141,Saturday,1,11,2011,d_281
2011-11-06,11141,Sunday,2,11,2011,d_282
2011-11-07,11141,Monday,3,11,2011,d_283
2011-11-08,11141,Tuesday,4,11,2011,d_284
2011-11-09,11141,Wednesday,5,11,2011,d_285
2011-11-10,11141,Thursday,6,11,2011,d_286
2011-11-11,11141,Friday,7,11,2011,d_287
2011-11-12,11142,Saturday,1,11,2011,d_288
2011-11-13,11142,Sunday,2,11,2011,d_289
2011-11-14,11142,Monday,3,11,2011,d_290
2011-11-15,11142,Tuesday,4,11,2011,d_291
2011-11-16,11142,Wednesday,5,11,2011,d_292
2011-11-17,11142,Thursday,6,11,2011,d_293
2011-11-18,11142,Friday,7,11,2011,d_294
2011-11-19,11143,Saturday,1,11,2011,d_295
2011-11-20,11143,Sunday,2,11,2011,d_296
2011-11-21,11143,Monday,3,11,2011,d_297
2011-11-22,11143,Tuesday,4,11,2011,d_298
2011-11-23,11143,Wednesday,5,11,2011,d_299
2011-11-24,11143,Thursday,6,11,2011,d_300
2011-11-25,11143,Friday,7,11,2011,d_301
2011-11-26,11144,Saturday,1,11,2011,d_302
2011-11-27,11144,Sunday,2,11,2011,d_303
2011-11-28,11144,Monday,3,11,2011,d_304
2011-11-29,11144,Tuesday,4,11,2011,d_305
2011-11-30,11144,Wednesday,5,11,2011,d_306
2011-12-01,11144,Thursday,6,12,2011,d_307
2011-12-02,11144,Friday,7,12,2011,d_308
2011-12-03,11145,Saturday,1,12,2011,d_309
2011-12-04,11145,Sunday,2,12,2011,d_310
2011-12-05,11145,Monday,3,12,2011,d_311
2011-12-06,11145,Tuesday,4,12,2011,d_312
2011-12-07,11145,Wednesday,5,12,2011,d_313
2011-12-08,11145,Thursday,6,12,2011,d_314
2011-12-09,11145,Friday,7,12,2011,d_315
2011-12-10,11146,Saturday,1,12,2011,d_316
2011-12-11,11146,Sunday,2,12,2011,d_317
2011-12-12,11146,Monday,3,12,2011,d_318
2011-12-13,11146,Tuesday,4,12,2011,d_319
2011-12-14,11146,Wednesday,5,12,2011,d_320
2011-12-15,11146,Thursday,6,12,2011,d_321
2011-12-16,11146,Friday,7,12,2011,d_322
2011-12-17,11147,Saturday,1,12,2011,d_323
2011-12-18,11147,Sunday,2,12,2011,d_324
2011-12-19,11147,Monday,3,12,2011,d_325
2011-12-20,11147,Tuesday,4,12,2011,d_326
2011-12-21,11147,Wednesday,5,12,2011,d_327
2011-12-22,11147,Thursday,6,12,2011,d_328
2011-12-23,11147,Friday,7,12,2011,d_329
2011-12-24,11148,Saturday,1,12,2011,d_330
2011-12-25,11148,Sunday,2,12,2011,d_331
2011-12-26,11148,Monday,3,12,2011,d_332
2011-12-27,11148,Tuesday,4,12,2011,d_333
2011-12-28,11148,Wednesday,5,12,2011,d_334
2011-12-29,11148,Thursday,6,12,2011,d_335
2011-12-30,11148,Friday,7,12,2011,d_336
2011-12-31,11149,Saturday,1,12,2011,d_337
2012-01-01,11149,Sunday,2,1,2012,d_338
2012-01-02,11149,Monday,3,1,2012,d_339
2012-01-03,11149,Tuesday,4,1,2012,d_340
2012-01-04,11149,Wednesday,5,1,2012,d_341
2012-01-05,11149,Thursday,6,1,2012,d_342
2012-01-06,11149,Friday,7,1,2012,d_343
2012-01-07,11150,Saturday,1,1,2012,d_344
2012-01-08,11150,Sunday,2,1,2012,d_345
2012-01-09,11150,Monday,3,1,2012,d_346
2012-01-10,11150,Tuesday,4,1,2012,d_347
2012-01-11,11150,Wednesday,5,1,2012,d_348
2012-01-12,11150,Thursday,6,1,2012,d_349
2012-01-13,11150,Friday,7,1,2012,d_350
2012-01-14,11151,Saturday,1,1,2012,d_351
2012-01-15,11151,Sunday,2,1,2012,d_352
2012-01-16,11151,Monday,3,1,2012,d_353
2012-01-17,11151,Tuesday,4,1,2012,d_354
2012-01-18,11151,Wednesday,5,1,2012,d_355
2012-01-19,11151,Thursday,6,1,2012,d_356
2012-01-20,11151,Friday,7,1,2012,d_357
2012-01-21,11152,Saturday,1,1,2012,d_358
2012-01-22,11152,Sunday,2,1,2012,d_359
2012-01-23,11152,Monday,3,1,2012,d_360
2012-01-24,11152,Tuesday,4,1,2012,d_361
2012-01-25,11152,Wednesday,5,1,2012,d_362
2012-01-26,11152,Thursday,6,1,2012,d_363
2012-01-27,11152,Friday,7,1,2012,d_364
2012-01-28,11201,Saturday,1,1,2012,d_365
2012-01-29,11201,Sunday,2,1,2012,d_366
2012-01-30,11201,Monday,3,1,2012,d_367
2012-01-31,11201,Tuesday,4,1,2012,d_368
2012-02-01,11201,Wednesday,5,2,2012,d_369
2012-02-02,11201,Thursday,6,2,2012,d_370
2012-02-03,11201,Friday,7,2,2012,d_371
2012-02-04,11202,Saturday,1,2,2012,d_372
2012-02-05,11202,Sunday,2,2,2012,d_373
2012-02-06,11202,Monday,3,2,2012,d_374
2012-02-07,11202,Tuesday,4,2,2012,d_375
2012-02-08,11202,Wednesday,5,2,2012,d_376
2012-02-09,11202,Thursday,6,2,2012,d_377
2012-02-10,11202,Friday,7,2,2012,d_378
2012-02-11,11203,Saturday,1,2,2012,d_379
2012-02-12,11203,Sunday,2,2,2012,d_380
2012-02-13,11203,Monday,3,2,2012,d_381
2012-02-14,11203,Tuesday,4,2,2012,d_382
2012-02-15,11203,Wednesday,5,2,2012,d_383
2012-02-16,11203,Thursday,6,2,2012,d_384
2012-02-17,11203,Friday,7,2,2012,d_385
2012-02-18,11204,Saturday,1,2,2012,d_386
2012-02-19,11204,Sunday,2,2,2012,d_387
2012-02-20,11204,Monday,3,2,2012,d_388
2012-02-21,11204,Tuesday,4,2,2012,d_389
2012-02-22,11204,Wednesday,5,2,2012,d_390
2012-02-23,11204,Thursday,6,2,2012,d_391
2012-02-24,11204,Friday,7,2,2012,d_392
2012-02-25,11205,Saturday,1,2,2012,d_393
2012-02-26,11205,Sunday,2,2,2012,d_394
2012-02-27,11205,Monday,3,2,2012,d_395
2012-02-28,11205,Tuesday,4,2,2012,d_396
2012-02-29,11205,Wednesday,5,2,2012,d_397
2012-03-01,11205,Thursday,6,3,2012,d_398
2012-03-02,11205,Friday,7,3,2012,d_399
2012-03-03,11206,Saturday,1,3,2012,d_400
2012-03-04,11206,Sunday,2,3,2012,d_401
2012-03-05,11206,Monday,3,3,2012,d_402
2012-03-06,11206,Tuesday,4,3,2012,d_403
2012-03-07,11206,Wednesday,5,3,2012,d_404
2012-03-08,11206,Thursday,6,3,2012,d_405
2012-03-09,11206,Friday,7,3,2012,d_406
2012-03-10,11207,Saturday,1,3,2012,d_407
2012-03-11,11207,Sunday,2,3,2012,d_408
2012-03-12,11207,Monday,3,3,2012,d_409
2012-03-13,11207,Tuesday,4,3,2012,d_410
2012-03-14,11207,Wednesday,5,3,2012,d_411
2012-03-15,11207,Thursday,6,3,2012,d_412
2012-03-16,11207,Friday,7,3,2012,d_413
2012-03-17,11208,Saturday,1,3,2012,d_414
2012-03-18,11208,Sunday,2,3,2012,d_415
2012-03-19,11208,Monday,3,3,2012,d_416
2012-03-20,11208,Tuesday,4,3,2012,d_417
2012-03-21,11208,Wednesday,5,3,2012,d_418
2012-03-22,11208,Thursday,6,3,2012,d_419
2012-03-23,11208,Friday,7,3,2012,d_420
2012-03-24,11209,Saturday,1,3,2012,d_421
2012-03-25,11209,Sunday,2,3,2012,d_422
2012-03-26,11209,Monday,3,3,2012,d_423
2012-03-27,11209,Tuesday,4,3,2012,d_424
2012-03-28,11209,Wednesday,5,3,2012,d_425
2012-03-29,11209,Thursday,6,3,2012,d_426
2012-03-30,11209,Friday,7,3,2012,d_427
2012-03-31,11210,Saturday,1,3,2012,d_428
2012-04-01,11210,Sunday,2,4,2012,d_429
2012-04-02,11210,Monday,3,4,2012,d_430
2012-04-03,11210,Tuesday,4,4,2012,d_431
2012-04-04,11210,Wednesday,5,4,2012,d_432
2012-04-05,11210,Thursday,6,4,2012,d_433
2012-04-06,11210,Friday,7,4,2012,d_434
2012-04-07,11211,Saturday,1,4,2012,d_435
2012-04-08,11211,Sunday,2,4,2012,d_436
2012-04-09,11211,Monday,3,4,2012,d_437
2012-04-10,11211,Tuesday,4,4,2012,d_438
2012-04-11,11211,Wednesday,5,4,2012,d_439
2012-04-12,11211,Thursday,6,4,2012,d_440
2012-04-13,11211,Friday,7,4,2012,d_441
2012-04-14,11212,Saturday,1,4,2012,d_442
2012-04-15,11212,Sunday,2,4,2012,d_443
2012-04-16,11212,Monday,3,4,2012,d_444
2012-04-17,11212,Tuesday,4,4,2012,d_445
2012-04-18,11212,Wednesday,5,4,2012,d_446
2012-04-19,11212,Thursday,6,4,2012,d_447
2012-04-20,11212,Friday,7,4,2012,d_448
2012-04-21,11213,Saturday,1,4,2012,d_449
2012-04-22,11213,Sunday,2,4,2012,d_450
2012-04-23,11213,Monday,3,4,2012,d_451
2012-04-24,11213,Tuesday,4,4,2012,d_452
2012-04-25,11213,Wednesday,5,4,2012,d_453
2012-04-26,11213,Thursday,6,4,2012,d_454
2012-04-27,11213,Friday,7,4,2012,d_455
2012-04-28,11214,Saturday,1,4,2012,d_456
2012-04-29,11214,Sunday,2,4,2012,d_457
2012-04-30,11214,Monday,3,4,2012,d_458
2012-05-01,11214,Tuesday,4,5,2012,d_459
2012-05-02,11214,Wednesday,5,5,2012,d_460
2012-05-03,11214,Thursday,6,5,2012,d_461
2012-05-04,11214,Friday,7,5,2012,d_462
2012-05-05,11215,Saturday,1,5,2012,d_463
2012-05-06,11215,Sunday,2,5,2012,d_464
2012-05-07,11215,Monday,3,5,2012,d_465
2012-05-08,11215,Tuesday,4,5,2012,d_466
2012-05-09,11215,Wednesday,5,5,2012,d_467
2012-05-10,11215,Thursday,6,5,2012,d_468
2012-05-11,11215,Friday,7,5,2012,d_469
2012-05-12,11216,Saturday,1,5,2012,d_470
2012-05-13,11216,Sunday,2,5,2012,d_471
2012-05-14,11216,Monday,3,5,2012,d_472
2012-05-15,11216,Tuesday,4,5,2012,d_473
2012-05-16,11216,Wednesday,5,5,2012,d_474
2012-05-17,11216,Thursday,6,5,2012,d_475
2012-05-18,11216,Friday,7,5,2012,d_476
2012-05-19,11217,Saturday,1,5,2012,d_477
2012-05-20,11217,Sunday,2,5,2012,d_478
2012-05-21,11217,Monday,3,5,2012,d_479
2012-05-22,11217,Tuesday,4,5,2012,d_480
2012-05-23,11217,Wednesday,5,5,2012,d_481
2012-05-24,11217,Thursday,6,5,2012,d_482
2012-05-25,11217,Friday,7,5,2012,d_483
2012-05-26,11218,Saturday,1,5,2012,d_484
2012-05-27,11218,Sunday,2,5,2012,d_485
2012-05-28,11218,Monday,3,5,2012,d_486
2012-05-29,11218,Tuesday,4,5,2012,d_487
2012-05-30,11218,Wednesday,5,5,2012,d_488
2012-05-31,11218,Thursday,6,5,2012,d_489
2012-06-01,11218,Friday,7,6,2012,d_490
2012-06-02,11219,Saturday,1,6,2012,d_491
2012-06-03,11219,Sunday,2,6,2012,d_492
2012-06-04,11219,Monday,3,6,2012,d_493
2012-06-05,11219,Tuesday,4,6,2012,d_494
2012-06-06,11219,Wednesday,5,6,2012,d_495
2012-06-07,11219,Thursday,6,6,2012,d_496
2012-06-08,11219,Friday,7,6,2012,d_497
2012-06-09,11220,Saturday,1,6,2012,d_498
2012-06-10,11220,Sunday,2,6,2012,d_499
2012-06-11,11220,Monday,3,6,2012,d_500
2012-06-12,11220,Tuesday,4,6,2012,d_501
2012-06-13,11220,Wednesday,5,6,2012,d_502
2012-06-14,11220,Thursday,6,6,2012,d_503
2012-06-15,11220,Friday,7,6,2012,d_504
2012-06-16,11221,Saturday,1,6,2012,d_505
2012-06-17,11221,Sunday,2,6,2012,d_506
2012-06-18,11221,Monday,3,6,2012,d_507
2012-06-19,11221,Tuesday,4,6,2012,d_508
2012-06-20,11221,Wednesday,5,6,2012,d_509
2012-06-21,11221,Thursday,6,6,2012,d_510
2012-06-22,11221,Friday,7,6,2012,d_511
2012-06-23,11222,Saturday,1,6,2012,d_512
2012-06-24,11222,Sunday,2,6,2012,d_513
2012-06-25,11222,Monday,3,6,2012,d_514
2012-06-26,11222,Tuesday,4,6,2012,d_515
2012-06-27,11222,Wednesday,5,6,2012,d_516
2012-06-28,11222,Thursday,6,6,2012,d_517
2012-06-29,11222,Friday,7,6,2012,d_518
2012-06-30,11223,Saturday,1,6,2012,d_519
2012-07-01,11223,Sunday,2,7,2012,d_520
2012-07-02,11223,Monday,3,7,2012,d_521
2012-07-03,11223,Tuesday,4,7,2012,d_522
2012-07-04,11223,Wednesday,5,7,2012,d_523
2012-07-05,11223,Thursday,6,7,2012,d_524
2012-07-06,11223,Friday,7,7,2012,d_525
2012-07-07,11224,Saturday,1,7,2012,d_526
2012-07-08,11224,Sunday,2,7,2012,d_527
2012-07-09,11224,Monday,3,7,2012,d_528
2012-07-10,11224,Tuesday,4,7,2012,d_529
2012-07-11,11224,Wednesday,5,7,2012,d_530
2012-07-12,11224,Thursday,6,7,2012,d_531
2012-07-13,11224,Friday,7,7,2012,d_532
2012-07-14,11225,Saturday,1,7,2012,d_533
2012-07-15,11225,Sunday,2,7,2012,d_534
2012-07-16,11225,Monday,3,7,2012,d_535
2012-07-17,11225,Tuesday,4,7,2012,d_536
